,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
2,0.6637313365936279,0.7531878352165222,0.4715409576892853,500,500_p_future,0.6321203469612056,CND_video_only
3,0.661088764667511,0.7555317878723145,0.45818525552749634,500,500_p_future,0.6299021728333349,CND_video_only
4,0.6534557342529297,0.7614688277244568,0.4213979244232178,500,500_p_future,0.622798448159292,CND_video_only
0,0.633419930934906,0.7292418479919434,0.4470314383506775,750,750_p_future,0.6214857750774168,CND_video_only
1,0.6464709639549255,0.7351869344711304,0.4739047586917877,750,750_p_future,0.6278098491595518,CND_video_only
2,0.6359970569610596,0.7332198619842529,0.44688358902931213,750,750_p_future,0.6124763817561382,CND_video_only
3,0.631298840045929,0.7293716669082642,0.4405320882797241,750,750_p_future,0.6090001361014452,CND_video_only
4,0.6273667812347412,0.7229007482528687,0.4415384531021118,750,750_p_future,0.5989276134742172,CND_video_only
0,0.6169880032539368,0.7113475203514099,0.4455040991306305,1000,1000_p_future,0.6169784591002249,CND_video_only
1,0.6287770867347717,0.7180035710334778,0.4666217267513275,1000,1000_p_future,0.6239815556461368,CND_video_only
2,0.6182557940483093,0.7300613522529602,0.4150664806365967,1000,1000_p_future,0.613351728279284,CND_video_only
3,0.6111820340156555,0.7083775401115417,0.4345442056655884,1000,1000_p_future,0.6003051888759985,CND_video_only
4,0.6092771887779236,0.7289278507232666,0.39183056354522705,1000,1000_p_future,0.589185082991041,CND_video_only
0,0.619066596031189,0.7124682068824768,0.45673078298568726,1250,1250_p_future,0.6165224192956111,CND_video_only
1,0.6425063610076904,0.7151355147361755,0.5162738561630249,1250,1250_p_future,0.6356845804088286,CND_video_only
2,0.6253258585929871,0.6770098805427551,0.5354969501495361,1250,1250_p_future,0.6272581256698622,CND_video_only
3,0.6140099763870239,0.7086514234542847,0.44951921701431274,1250,1250_p_future,0.6045567042933869,CND_video_only
4,0.6064226031303406,0.7149937748908997,0.4177215099334717,1250,1250_p_future,0.593056720713405,CND_video_only
0,0.6092325448989868,0.7042606472969055,0.45622119307518005,1500,1500_p_future,0.6197145405887601,CND_video_only
1,0.6393165588378906,0.7086614370346069,0.5276595950126648,1500,1500_p_future,0.6323371989295272,CND_video_only
2,0.6229934096336365,0.672245442867279,0.5436893105506897,1500,1500_p_future,0.6151650312221231,CND_video_only
